TYPE,COUNT
0,4
Accessories,42
Activewear,51
Blazer,90
Blouse,29
Cardigans,60
Co-ord,228
Coats & Jackets,553
Dresses,1
Face Masks,14
Hoodies,45
Jeans,40
Jumpsuit & Playsuit,3
Jumpsuits & Playsuits,71
Leggings,15
Nightwear,81
Shirts,52
Shorts,35
Skirt,1
Skirts,116
Sweaters,125
Sweatshirts,22
Swimwear & Beachwear,168
T-Shirts,102
T-shirt,1
T-shirts,16
Tights,29
Trousers,107
dresses,811
shorts,2
womens tops,178
